timestamp,device_name,indoor_temperature_c,outdoor_temperature_c,setpoint_temperature_c,mode,power_consumption_watts,compressor_status,fan_speed_rpm,refrigerant_pressure_psi,error_code,filter_status,runtime_hours,wattage_mode
2025-03-04 13:21:12,aircon_1,17,31,24,cool,0,Off,578,237,None,Clean,0,normal
2025-03-04 13:21:42,aircon_1,18,31,16,cool,880,On,1396,236,None,Clean,0,normal
2025-03-04 13:22:12,aircon_1,18,31,16,cool,880,On,1024,236,None,Clean,0,normal
2025-03-04 13:22:42,aircon_1,18,31,16,cool,880,On,1401,238,None,Clean,0,normal
2025-03-04 13:23:12,aircon_1,18,31,16,cool,880,On,1044,240,None,Clean,0,normal
2025-03-04 13:23:42,aircon_1,18,31,16,cool,880,On,1457,238,None,Clean,0,normal
2025-03-04 13:24:12,aircon_1,18,31,16,cool,880,On,1028,236,None,Clean,0,normal
2025-03-04 13:24:43,aircon_1,18,31,16,cool,880,On,1228,234,None,Clean,0,normal
2025-03-04 13:25:13,aircon_1,18,31,16,cool,880,On,1397,235,None,Clean,0,normal
2025-03-04 13:25:43,aircon_1,18,31,16,cool,880,On,1495,237,None,Clean,0,normal
2025-03-04 13:26:13,aircon_1,18,31,16,cool,880,On,1378,237,None,Clean,0,normal
2025-03-04 13:26:43,aircon_1,18,31,16,cool,880,On,1436,236,None,Clean,0,normal
2025-03-04 13:27:13,aircon_1,18,31,16,cool,880,On,1416,236,None,Clean,0,normal
2025-03-04 13:27:43,aircon_1,18,31,16,cool,880,On,1182,237,None,Clean,0,normal
2025-03-04 13:28:13,aircon_1,18,31,16,cool,880,On,1197,236,None,Clean,0,normal
2025-03-04 13:28:43,aircon_1,18,31,16,cool,880,On,1239,237,None,Clean,0,normal
2025-03-04 13:29:13,aircon_1,18,31,16,cool,880,On,1116,238,None,Clean,0,normal
2025-03-04 13:29:43,aircon_1,18,31,16,cool,880,On,1456,236,None,Clean,0,normal
2025-03-04 13:30:13,aircon_1,18,31,16,cool,880,On,1096,237,None,Clean,0,normal
2025-03-04 13:30:43,aircon_1,18,31,16,cool,880,On,1416,239,None,Clean,0,normal
2025-03-04 13:31:13,aircon_1,18,31,16,cool,880,On,1144,241,None,Clean,0,normal
2025-03-04 13:31:43,aircon_1,18,31,16,cool,880,On,1226,241,None,Clean,0,normal
2025-03-04 13:32:13,aircon_1,18,31,16,cool,880,On,1072,241,None,Clean,0,normal
2025-03-04 13:47:57,aircon_1,18,31,16,cool,880,On,1285,241,None,Clean,0,normal
2025-03-04 13:48:27,aircon_1,18,31,16,cool,880,On,1259,243,None,Clean,0,normal
2025-03-04 13:49:40,aircon_1,18,31,16,cool,880,On,1209,242,None,Clean,0,normal
2025-03-04 13:50:10,aircon_1,18,31,16,cool,880,On,1194,242,None,Clean,0,normal
2025-03-04 14:05:47,aircon_1,18,31,16,cool,880,On,1030,244,None,Clean,0,normal
